gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group B,bachelor's degree,standard,none,71,77,74
female,group C,some college,standard,completed,70,86,88
female,group B,master's degree,standard,none,89,98,94
male,group A,associate's degree,free/reduced,none,44,54,48
male,group C,some college,standard,none,73,76,75
female,group B,associate's degree,standard,none,71,85,74
female,group B,some college,standard,completed,84,94,87
male,group B,some college,free/reduced,none,45,42,39
male,group D,high school,free/reduced,completed,59,61,68
female,group B,high school,free/reduced,none,39,64,47
male,group C,associate's degree,standard,none,55,49,54
male,group D,associate's degree,standard,none,44,56,39
female,group B,high school,standard,none,70,80,74
male,group A,some college,standard,completed,83,69,75
female,group A,master's degree,standard,none,47,58,57
female,group C,some high school,standard,none,65,75,79
male,group C,high school,standard,none,93,89,85
female,group B,some high school,free/reduced,none,21,31,28
male,group C,master's degree,free/reduced,completed,49,44,47
female,group C,associate's degree,free/reduced,none,49,53,56
male,group D,high school,standard,none,69,74,61
female,group B,some college,free/reduced,completed,61,80,71
male,group D,some college,standard,none,42,53,55
female,group C,some high school,standard,none,68,73,77
male,group D,bachelor's degree,free/reduced,completed,75,67,78
male,group A,master's degree,free/reduced,none,70,76,67
male,group B,some college,standard,none,68,57,58
female,group C,bachelor's degree,standard,none,62,65,79
male,group C,high school,standard,none,75,67,70
female,group D,master's degree,standard,none,62,71,78
female,group D,some college,standard,none,74,78,74
female,group B,some college,standard,none,67,68,65
female,group E,master's degree,free/reduced,none,51,70,62
male,group D,some college,standard,none,36,38,33
male,group E,some college,standard,none,92,82,83
male,group E,associate's degree,standard,completed,80,77,78
female,group D,associate's degree,standard,none,78,82,86
female,group D,some high school,free/reduced,none,45,64,61
female,group D,associate's degree,free/reduced,completed,73,85,91
male,group B,associate's degree,free/reduced,none,62,53,60
male,group C,associate's degree,free/reduced,none,53,56,56
female,group C,associate's degree,standard,none,54,74,71
female,group B,associate's degree,standard,none,48,60,65
male,group B,some college,free/reduced,completed,55,68,64
female,group E,associate's degree,free/reduced,none,48,53,55
male,group B,associate's degree,standard,none,63,57,58
female,group A,associate's degree,standard,completed,58,67,64
female,group C,high school,standard,none,61,76,79
female,group D,associate's degree,free/reduced,completed,54,76,78
male,group C,high school,standard,completed,81,79,87
male,group E,some college,standard,none,53,60,46
male,group E,associate's degree,free/reduced,completed,80,73,64
male,group C,some college,standard,none,50,43,47
male,group D,high school,standard,none,93,75,73
female,group C,some high school,free/reduced,completed,76,86,82
female,group C,high school,free/reduced,none,31,38,42
female,group E,associate's degree,standard,completed,84,90,90
male,group D,associate's degree,standard,none,57,56,46
male,group D,some college,standard,completed,53,54,61
female,group C,some high school,free/reduced,none,0,22,13
male,group E,bachelor's degree,free/reduced,completed,78,79,75
male,group A,some high school,free/reduced,none,35,42,34
male,group A,associate's degree,free/reduced,none,64,62,56
female,group C,associate's degree,standard,none,69,79,66
female,group D,some high school,standard,none,60,56,62
male,group B,some high school,standard,none,63,65,60
